object_type,altitude_km,inclination_deg,eccentricity,mass_kg,area_m2,drag_coeff,mean_motion,solar_activity,decay_time_days
Debris,1094.09,54.18,0.0161,930.61,6.741,2.35,12.339,Low,4000.0
Active,1146.46,72.59,0.0482,1380.1,2.898,2.02,13.859,Medium,4000.0
Debris,1092.56,47.53,0.0321,1768.11,4.667,2.25,15.823,Medium,4000.0
Debris,619.45,8.37,0.0013,414.77,18.111,2.42,15.378,Medium,1075.5
Debris,980.37,95.3,0.0216,1836.47,0.747,2.08,15.38,Medium,4000.0
Active,676.34,50.77,0.0438,1630.55,4.404,1.85,11.88,Medium,4000.0
Debris,697.54,60.19,0.0151,1957.73,6.198,2.16,12.325,Low,4000.0
Debris,404.68,23.19,0.0048,1760.62,12.342,2.04,11.382,Low,3427.1
Active,791.13,47.38,0.0379,560.59,10.687,2.27,14.892,Low,2707.2
Active,386.14,42.06,0.0303,212.81,4.373,2.47,11.349,Medium,1211.3
Active,531.56,7.34,0.0286,225.37,3.293,2.14,13.783,High,4000.0
Debris,1055.03,10.4,0.0028,583.16,4.744,2.13,12.239,Low,4000.0
Debris,407.08,82.07,0.0071,1228.75,10.056,2.26,12.217,Low,2670.2
Debris,271.16,23.5,0.0312,1608.84,5.431,1.87,15.954,Medium,4000.0
Active,269.01,19.11,0.0105,1798.6,18.953,1.98,14.784,High,2762.8
Debris,1140.78,49.48,0.0253,1247.88,9.283,2.44,15.185,Medium,4000.0
Debris,706.92,75.34,0.0273,12.26,1.185,2.27,13.86,Low,461.3
Debris,609.41,6.07,0.0142,373.45,14.588,1.81,15.355,High,2360.5
Active,1010.88,56.53,0.0474,200.35,6.584,1.94,14.227,High,4000.0
Debris,1035.83,11.68,0.0421,727.29,13.073,2.28,15.731,Low,4000.0
Debris,532.19,3.57,0.0361,1003.2,5.599,2.34,12.407,High,4000.0
Debris,893.62,5.17,0.004,87.75,11.419,2.39,13.977,Medium,588.4
Debris,971.12,81.75,0.0054,697.61,15.445,2.0,14.451,Low,3453.7
Debris,854.65,11.56,0.0247,359.18,18.561,2.45,12.965,Medium,1364.1
Debris,351.6,4.42,0.0081,1294.49,5.23,2.19,15.399,High,4000.0
Debris,1075.88,42.91,0.0489,929.08,6.704,2.29,15.899,Medium,4000.0
Debris,739.09,82.71,0.008,991.14,9.291,2.22,13.469,Low,4000.0
Debris,482.47,25.72,0.0244,855.96,18.544,1.89,12.953,High,3008.6
Debris,625.23,41.33,0.0183,1912.08,18.029,2.47,13.36,Low,3704.4
Debris,237.57,3.91,0.032,430.26,1.807,1.89,15.264,Medium,4000.0
Debris,327.87,44.01,0.0065,1033.81,2.647,1.98,14.227,Medium,4000.0
Debris,965.55,56.61,0.0216,1472.3,9.915,2.37,11.224,Low,4000.0
Debris,200.01,55.95,0.0138,1114.13,2.141,2.23,13.711,Low,4000.0
Debris,616.57,32.58,0.0444,1858.11,6.918,2.39,11.087,High,4000.0
Debris,722.51,30.92,0.0021,756.56,2.976,2.16,14.893,Medium,4000.0
Active,254.63,10.45,0.0457,927.89,12.724,2.06,12.642,Medium,1266.7
Debris,1173.08,35.95,0.0417,177.96,18.99,2.45,13.36,Medium,997.1
Active,426.13,9.75,0.0149,1218.39,19.935,1.83,14.993,Medium,2334.0
Debris,504.2,75.13,0.0395,577.14,7.511,2.4,11.232,Medium,2784.4
Debris,503.94,94.69,0.0017,321.46,11.984,1.96,11.793,Low,892.1
Active,430.42,95.07,0.0483,1089.52,17.127,2.39,12.99,Low,1413.3
Debris,201.47,84.78,0.0264,1065.09,2.358,1.9,12.15,High,4000.0
Debris,929.34,58.88,0.0152,152.67,13.794,2.21,12.69,Medium,964.4
Debris,1166.85,68.68,0.0182,1396.73,8.183,2.42,15.991,Low,4000.0
Debris,424.29,27.95,0.0034,1247.92,4.131,2.13,15.127,High,4000.0
Active,863.05,61.82,0.0495,378.85,8.061,2.32,15.42,Medium,3543.3
Active,941.9,44.65,0.0021,939.4,1.528,2.36,15.685,Low,4000.0
Active,1048.43,47.24,0.0328,1440.93,13.911,2.32,12.705,High,4000.0
Debris,622.63,74.26,0.0222,1059.34,5.062,2.45,12.485,Medium,4000.0
Active,502.93,27.63,0.0475,791.58,6.235,2.11,12.17,Low,3911.7
Active,525.3,31.17,0.0124,645.35,2.43,1.92,15.151,Low,4000.0
Debris,912.62,90.61,0.0267,1221.18,17.295,1.83,14.398,Medium,4000.0
Debris,1016.78,5.51,0.0242,1878.28,9.874,1.97,12.181,Medium,4000.0
Active,381.61,47.59,0.0352,1343.82,11.447,1.9,12.885,Low,2805.6
Debris,570.94,89.45,0.0035,150.42,11.393,2.19,13.534,Low,462.2
Active,1101.94,59.82,0.0098,921.91,8.216,1.93,13.641,Low,4000.0
Debris,1006.69,53.55,0.0108,1781.76,3.859,1.83,15.444,Medium,4000.0
Active,1184.86,24.47,0.0369,189.83,14.905,1.83,12.903,Low,1378.4
Debris,954.25,33.64,0.0095,1977.76,2.55,2.38,15.543,Low,4000.0
Debris,593.2,83.5,0.0287,1898.19,2.086,2.21,13.207,Medium,4000.0
Debris,790.64,54.8,0.0108,157.47,14.206,2.05,14.732,Medium,843.9
Active,861.01,50.44,0.0431,1866.89,4.185,2.43,15.651,Medium,4000.0
Debris,278.46,9.76,0.0471,726.9,6.142,1.85,15.538,Low,1928.5
Debris,744.5,1.57,0.026,1689.57,9.51,2.49,11.285,Medium,4000.0
Debris,909.32,94.44,0.0177,837.35,8.993,2.23,12.029,Low,4000.0
Active,367.32,36.94,0.0118,882.27,14.174,1.93,13.385,High,2787.2
Debris,980.63,59.11,0.0026,1268.85,12.472,2.28,13.158,Medium,4000.0
Active,783.77,7.81,0.0135,1549.18,12.891,2.33,14.204,Low,4000.0
Debris,1152.22,66.95,0.0327,68.54,14.284,2.1,15.724,Low,436.4
Debris,242.42,91.39,0.0267,1186.72,5.859,2.4,11.562,Medium,2832.8
Debris,465.33,56.42,0.0472,374.28,6.453,1.91,13.259,Medium,2379.4
Debris,801.55,12.36,0.0199,692.55,8.766,2.0,11.962,Medium,4000.0
Active,496.56,57.01,0.0347,696.59,6.156,1.87,15.471,High,4000.0
Debris,914.42,75.1,0.0245,938.65,19.699,1.95,15.823,Medium,4000.0
Debris,959.01,39.83,0.0257,668.94,16.283,1.97,13.394,Medium,4000.0
Active,302.52,86.22,0.0135,215.61,3.301,2.44,11.52,High,1797.5
Debris,713.85,63.57,0.0228,292.11,0.122,1.85,14.926,Medium,4000.0
Debris,708.89,88.13,0.0236,67.84,0.865,2.1,14.486,Medium,4000.0
Active,569.28,61.1,0.0354,941.03,4.889,2.17,12.773,High,4000.0
Debris,1132.92,12.87,0.047,1908.94,2.295,2.43,15.437,Low,4000.0
Debris,1027.51,30.35,0.0165,232.23,10.671,2.5,15.879,Low,1432.6
Active,897.21,19.78,0.0022,1892.58,17.161,2.33,13.789,High,4000.0
Debris,914.33,89.06,0.0249,1466.99,14.738,2.48,13.829,Medium,4000.0
Debris,661.72,74.52,0.0273,1275.36,4.32,2.35,12.488,High,4000.0
Debris,1120.99,66.29,0.0085,1290.91,7.992,2.47,13.923,Low,4000.0
Active,894.6,29.49,0.038,1653.63,10.163,2.3,13.198,Medium,4000.0
Debris,928.98,18.04,0.0492,214.73,16.206,1.86,12.511,Low,1028.4
Debris,1061.69,74.13,0.0473,1010.0,16.784,2.08,11.336,Medium,4000.0
Active,474.07,46.47,0.0099,1394.49,18.195,2.25,12.264,Low,2050.7
Active,1007.07,22.13,0.0438,1174.05,10.19,2.05,11.989,Low,4000.0
Debris,395.24,60.43,0.0353,1665.73,13.889,1.99,13.71,Low,2864.4
Debris,545.34,3.95,0.0227,145.47,2.245,2.2,14.008,Medium,2836.4
Debris,535.61,31.96,0.0271,1381.71,11.31,2.45,14.043,Low,3518.2
Active,1178.53,45.92,0.0425,1068.52,4.981,1.82,12.941,Low,4000.0
Debris,1056.54,14.5,0.0241,758.94,8.64,2.34,13.106,Low,4000.0
Debris,901.17,96.5,0.0187,681.21,12.685,2.31,15.171,Low,3225.9
Active,927.06,20.49,0.0247,1242.04,5.147,2.47,13.381,High,4000.0
Active,762.07,12.77,0.029,1782.1,1.053,2.45,15.939,Low,4000.0
Debris,1147.09,19.95,0.0095,992.86,0.215,2.33,13.198,Low,4000.0
Active,696.26,75.37,0.0451,1649.62,0.453,2.16,14.248,High,4000.0
Debris,580.52,41.7,0.0337,804.91,0.177,1.94,11.252,Medium,4000.0
Active,363.04,55.41,0.0317,205.69,2.216,2.18,14.267,Medium,2416.0
Debris,986.21,2.06,0.0051,123.95,4.797,2.34,15.257,Medium,2297.2
Debris,934.44,3.37,0.0302,103.62,4.432,2.43,15.712,High,2799.1
Active,584.36,43.69,0.0061,760.92,19.736,2.35,15.987,Low,1296.4
Debris,225.19,80.03,0.004,675.14,6.127,1.94,12.411,High,2598.5
Debris,1039.0,86.75,0.0264,1436.16,2.557,2.22,13.877,High,4000.0
Active,211.42,8.5,0.0202,1485.9,10.916,2.03,13.254,Medium,1884.0
Active,903.7,52.76,0.0295,102.66,17.161,1.81,13.819,Medium,613.7
Debris,1170.26,89.5,0.0046,443.03,13.564,1.94,11.787,Medium,4000.0
Debris,637.66,38.02,0.0216,549.25,5.929,1.88,15.281,Low,4000.0
Debris,434.97,81.3,0.0088,1095.68,11.237,2.39,15.548,Low,2196.2
Debris,904.87,13.1,0.0494,289.89,14.3,1.98,13.248,High,2856.6
Debris,1017.13,91.67,0.0281,268.75,14.565,2.0,12.402,Medium,1997.9
Debris,746.43,73.64,0.0344,1887.63,13.334,2.47,11.704,Low,4000.0
Active,1167.04,92.25,0.0163,1608.6,17.418,2.07,14.419,Medium,4000.0
Debris,251.67,66.31,0.0048,362.13,17.403,1.81,12.561,Medium,405.1
Debris,704.8,35.61,0.0488,813.73,11.583,2.0,15.548,Low,3541.2
Debris,918.45,91.94,0.0144,711.89,8.603,1.88,14.355,Medium,4000.0
Active,1062.64,27.01,0.0212,1582.22,12.835,1.87,14.228,Medium,4000.0
Debris,379.26,32.55,0.0325,1020.92,16.366,1.85,13.797,Low,1518.9
Debris,1000.0,68.68,0.0013,256.57,0.123,2.22,11.229,High,4000.0
Debris,752.71,75.0,0.0405,1478.25,19.84,1.93,15.66,Low,4000.0
Debris,596.55,91.08,0.0269,794.38,3.666,2.05,14.14,Medium,4000.0
Debris,331.72,20.07,0.014,526.59,9.41,2.4,15.97,Low,882.5
Active,1065.3,78.2,0.0032,751.62,17.442,2.1,13.687,Medium,4000.0
Active,357.27,72.38,0.0082,996.02,4.509,2.44,14.551,Low,3773.3
Debris,509.79,6.25,0.0448,686.89,9.541,2.15,11.281,Low,2215.6
Debris,490.05,37.95,0.0343,484.57,2.66,2.08,14.159,High,4000.0
Active,1071.41,27.71,0.0126,797.61,7.908,2.33,14.823,Low,4000.0
Active,872.7,29.84,0.0034,39.33,3.551,1.85,14.893,Medium,1062.4
Debris,996.68,96.33,0.0346,1545.22,7.279,1.86,14.851,Medium,4000.0
Debris,450.47,62.99,0.0287,342.72,7.476,2.26,12.131,High,2285.5
Debris,824.87,70.33,0.0203,88.77,19.863,2.14,15.877,Medium,344.4
Debris,771.75,95.71,0.0182,1307.74,19.896,2.35,15.976,Low,3172.8
Active,1032.83,36.97,0.0109,1548.1,2.305,2.44,11.378,Low,4000.0
Active,1106.09,78.58,0.0335,1627.84,14.522,2.07,15.682,High,4000.0
Active,212.16,42.58,0.0485,987.52,1.044,2.22,12.447,High,4000.0
Debris,874.02,85.21,0.0089,411.53,0.614,2.15,14.446,Low,4000.0
Debris,251.84,17.7,0.0299,1474.72,2.116,2.49,12.691,Medium,4000.0
Active,748.86,92.87,0.0213,1399.73,19.31,2.38,15.839,Medium,4000.0
Active,487.63,21.44,0.0224,493.3,18.818,2.44,11.508,High,1341.9
Debris,506.78,31.97,0.0128,1806.91,3.887,1.98,13.489,High,4000.0
Active,552.96,74.11,0.0413,209.64,3.242,2.34,13.14,High,4000.0
Active,821.29,38.59,0.0243,1965.39,4.818,1.99,12.63,High,4000.0
Debris,534.05,59.6,0.0272,1720.64,10.316,1.95,14.228,High,4000.0
Debris,932.7,43.57,0.0153,1376.11,11.398,2.46,11.655,Low,4000.0
Debris,604.53,72.75,0.0092,1877.56,4.44,1.81,14.583,High,4000.0
Debris,268.35,22.38,0.0044,1444.9,15.135,2.48,15.903,Medium,1474.6
Debris,983.76,5.73,0.0357,381.72,6.198,1.9,15.023,High,4000.0
Active,485.76,29.39,0.0099,884.87,18.443,2.37,15.3,Medium,1677.3
Debris,632.77,46.48,0.0345,143.93,13.138,1.99,12.798,Low,482.4
Debris,885.44,16.47,0.0196,779.93,8.733,2.05,12.624,Medium,4000.0
Debris,532.46,34.77,0.0208,1483.46,15.8,1.95,13.585,Medium,4000.0
Debris,256.59,39.2,0.0235,773.5,16.36,2.21,11.229,Low,579.9
Active,573.92,5.62,0.0184,661.26,5.817,2.04,15.727,Low,4000.0
Debris,1144.45,57.16,0.0051,1191.12,6.801,2.26,11.719,Medium,4000.0
Debris,841.73,86.67,0.0156,1744.54,18.72,1.81,15.515,Low,4000.0
Active,871.48,14.87,0.0332,96.12,3.303,1.85,11.418,Low,2089.8
Debris,832.28,58.59,0.0333,771.56,0.853,1.87,15.113,Low,4000.0
Debris,398.99,65.14,0.0144,317.32,9.087,2.09,11.76,High,1607.8
Debris,618.33,41.09,0.0231,1391.01,16.026,2.37,11.191,Medium,4000.0
Debris,950.94,68.71,0.0098,212.34,15.436,2.42,14.597,Low,845.9
Debris,301.37,40.25,0.0106,1329.95,18.391,1.97,12.401,Medium,1635.2
Debris,477.85,49.45,0.0013,573.08,10.669,2.2,14.572,Medium,1980.2
Debris,476.32,0.72,0.0448,398.63,2.01,2.34,13.775,Low,4000.0
Active,632.02,67.79,0.0106,1872.77,11.778,2.0,11.544,Low,4000.0
Debris,1180.37,64.81,0.0115,38.03,15.57,2.09,15.661,Medium,307.1
Debris,267.5,3.76,0.0141,876.12,1.876,2.17,13.262,Medium,4000.0
Debris,718.7,36.09,0.0065,44.23,3.461,1.89,14.672,Medium,932.3
Debris,379.36,95.95,0.032,967.7,0.256,1.82,13.505,Medium,4000.0
Debris,1170.68,41.23,0.0038,1002.59,11.877,1.91,14.022,Low,4000.0
Debris,313.3,49.19,0.0068,644.0,17.736,2.24,12.514,High,1139.2
Active,603.6,89.17,0.0323,265.19,13.417,1.85,12.002,Low,880.5
Debris,937.88,70.29,0.017,753.4,19.641,1.93,13.713,Medium,3873.2
Debris,904.55,57.04,0.0354,1344.85,1.27,2.04,13.201,Low,4000.0
Debris,622.73,78.18,0.0279,1565.01,18.061,1.85,12.951,Low,4000.0
Active,546.52,84.71,0.0129,1061.97,16.283,1.93,14.363,Medium,3263.5
Debris,597.61,44.78,0.0326,1180.08,6.292,2.44,14.453,Low,4000.0
Debris,464.28,46.56,0.0059,402.03,19.471,1.81,11.23,Medium,891.2
Debris,405.33,37.83,0.0269,575.37,5.766,2.26,12.694,Low,2168.4
Active,683.04,94.74,0.0219,324.63,17.787,2.07,13.059,Medium,1137.8
Debris,468.53,68.32,0.0135,499.34,17.616,2.27,11.484,Medium,987.2
Active,487.46,8.16,0.0302,450.55,15.156,2.21,12.18,Low,839.7
Debris,856.76,84.57,0.0436,1039.38,11.274,1.96,11.258,High,4000.0
Debris,1168.54,47.09,0.0499,1125.81,2.409,2.39,15.981,Low,4000.0
Debris,803.64,6.74,0.0304,1889.95,10.644,2.14,14.683,Low,4000.0
Debris,276.98,53.87,0.0203,391.95,7.142,2.38,11.437,Medium,920.4
Debris,275.58,40.88,0.0113,1283.71,15.846,2.08,11.101,Medium,1544.5
Debris,1151.42,86.02,0.0129,1634.7,15.165,2.49,14.596,Medium,4000.0
Active,497.29,19.99,0.024,1120.92,18.213,2.34,13.196,Low,1685.0
Debris,292.07,80.99,0.0184,510.75,0.306,2.48,14.934,High,4000.0
Debris,799.04,54.65,0.0457,525.84,16.184,2.16,15.617,Medium,2380.2
Debris,823.65,5.35,0.0185,79.47,18.77,2.13,13.997,Low,245.4
Debris,848.5,95.24,0.0187,611.58,15.788,2.33,11.936,Low,2133.3
Debris,467.4,50.24,0.0192,1489.46,2.613,2.42,14.911,High,4000.0
Debris,215.11,28.51,0.0418,95.99,1.635,2.47,15.779,Medium,683.0
Debris,1165.02,46.0,0.0326,439.37,0.427,2.03,13.901,Low,4000.0
Active,450.89,84.07,0.0307,1412.76,12.579,2.36,14.41,Low,2684.3
Active,876.03,29.88,0.0168,1565.52,12.597,1.95,12.687,Low,4000.0
Debris,906.63,18.88,0.0409,911.18,19.738,2.18,12.908,Medium,3948.9
Debris,810.01,12.65,0.002,1396.45,7.967,1.93,14.673,High,4000.0
Debris,512.91,29.19,0.0436,776.52,6.645,2.04,15.639,Medium,4000.0
Debris,471.1,76.44,0.0257,320.67,12.492,2.45,14.145,Medium,834.2
Debris,797.67,46.22,0.02,796.9,16.514,1.9,14.949,High,4000.0
Debris,1066.1,22.29,0.0249,1160.36,18.736,2.24,11.858,Medium,4000.0
Active,1146.73,16.29,0.0334,1896.16,16.064,2.22,12.06,Medium,4000.0
Debris,305.91,32.61,0.0007,138.43,8.539,1.88,13.66,Low,293.7
Debris,354.83,92.11,0.0436,1015.28,12.702,2.03,11.883,Medium,2168.8
Debris,1144.74,33.62,0.0224,658.51,17.127,2.19,14.175,Medium,4000.0
Debris,936.54,96.84,0.0172,1017.12,9.817,1.93,12.458,Low,4000.0
Debris,1082.99,47.55,0.007,48.93,4.342,2.36,14.958,High,1682.8
Debris,402.63,17.56,0.022,626.74,3.403,2.48,15.041,High,4000.0
Debris,787.59,87.33,0.0249,1639.92,0.013,1.95,13.319,Medium,4000.0
Active,901.14,45.11,0.0202,1108.33,14.368,1.93,11.904,Medium,4000.0
Debris,880.11,69.55,0.034,901.71,2.231,2.12,14.234,Medium,4000.0
Debris,608.15,96.4,0.0211,571.76,4.884,2.32,15.964,Low,4000.0
Debris,215.39,4.92,0.0481,596.79,5.965,2.0,14.113,Low,1080.0
Debris,782.93,9.48,0.03,766.82,11.212,1.81,11.179,Medium,4000.0
Debris,453.1,70.6,0.0404,1671.31,7.965,2.18,11.086,Medium,4000.0
Active,650.25,27.62,0.0056,1934.46,13.497,2.47,12.602,High,4000.0
Active,1157.58,18.06,0.0199,877.87,1.122,2.07,11.979,Low,4000.0
Active,599.04,3.86,0.0169,787.31,2.488,2.09,15.065,Medium,4000.0
Debris,1039.8,2.14,0.0285,1693.26,9.989,2.48,15.224,Medium,4000.0
Debris,388.54,75.9,0.0431,854.38,6.746,2.29,12.293,Medium,3427.7
Debris,872.46,13.17,0.004,1104.48,5.923,2.3,12.628,High,4000.0
Debris,1177.01,45.84,0.0037,462.65,1.35,2.19,12.181,High,4000.0
Active,301.89,59.38,0.0425,1487.26,17.915,2.48,15.542,Low,1120.9
Debris,208.32,41.98,0.0107,1064.44,13.839,2.28,13.513,Low,697.4
Debris,633.58,2.66,0.0335,1618.26,2.441,2.43,14.281,Low,4000.0
Debris,292.63,76.78,0.0272,1561.68,1.31,2.29,13.077,Medium,4000.0
Debris,948.38,1.03,0.0417,430.79,19.498,2.31,14.155,Low,1418.3
Debris,1114.55,74.67,0.0063,1431.56,13.627,2.0,12.929,Medium,4000.0
Debris,634.02,87.54,0.0066,1600.31,8.355,2.01,12.698,Medium,4000.0
Debris,458.71,42.42,0.0279,692.87,14.038,2.35,14.172,Medium,1615.3
Active,634.4,52.48,0.0473,346.05,15.129,2.01,13.955,Medium,1334.1
Active,923.45,46.74,0.0208,6.26,15.601,2.19,12.468,Medium,35.0
Debris,209.05,38.14,0.0164,902.36,9.563,1.97,11.747,Medium,1326.2
Debris,789.45,86.97,0.0304,705.51,8.603,2.37,12.843,Low,4000.0
Debris,813.29,87.61,0.0465,1110.26,0.23,1.88,13.076,Medium,4000.0
Debris,837.69,32.91,0.0419,376.89,18.532,2.38,14.143,Medium,1437.8
Debris,442.02,60.28,0.0498,1719.47,12.07,2.22,15.573,Medium,4000.0
Debris,914.05,90.84,0.0012,516.25,4.071,1.93,11.181,High,4000.0
Debris,291.39,94.28,0.0057,453.63,18.393,2.18,12.218,High,723.6
Debris,399.27,49.88,0.0305,961.95,18.299,2.0,11.969,High,2531.6
Debris,1077.47,44.38,0.041,998.2,19.784,2.03,13.511,Low,4000.0
Debris,938.72,27.31,0.0143,430.96,17.482,2.05,13.149,Medium,2346.2
Active,213.75,93.97,0.012,544.45,19.956,1.84,14.645,Low,316.9
Active,448.38,14.0,0.0394,340.24,4.901,2.49,12.212,Low,1561.2
Debris,414.41,56.82,0.0029,1437.2,16.847,1.82,13.972,Low,2369.3
Active,470.81,27.69,0.0185,1540.41,16.462,2.26,15.419,Low,2470.4
Debris,447.56,27.34,0.0253,925.19,4.626,2.06,15.553,Low,4000.0
Active,262.53,39.69,0.0281,1428.46,1.978,2.25,15.794,Medium,4000.0
Active,658.94,97.88,0.0365,1472.13,19.589,2.05,14.866,High,4000.0
Debris,932.73,5.39,0.0178,277.41,5.928,2.27,15.53,Low,2991.6
Debris,806.73,56.7,0.0307,1932.39,17.419,2.31,12.173,High,4000.0
Debris,872.87,8.09,0.0293,1642.24,0.093,2.28,11.988,Low,4000.0
Debris,281.15,15.14,0.0274,409.76,0.43,1.88,11.032,Low,4000.0
Debris,1151.49,43.08,0.0321,373.14,9.323,2.26,14.534,Medium,4000.0
Debris,1038.49,50.03,0.013,252.2,4.782,2.0,15.687,Medium,4000.0
Debris,1005.09,25.36,0.0043,277.62,13.8,1.82,11.935,Low,1767.7
Active,1022.98,31.01,0.0061,1496.58,11.316,2.09,14.185,Low,4000.0
Active,1132.71,8.52,0.0113,939.84,1.559,2.1,14.732,Medium,4000.0
Debris,744.25,29.72,0.0251,1566.09,3.261,2.13,15.638,Low,4000.0
Debris,400.28,94.72,0.042,1492.76,7.767,2.29,14.234,Medium,4000.0
Debris,816.78,92.58,0.0351,1209.62,3.72,2.02,15.851,Medium,4000.0
Debris,942.88,32.82,0.0395,1373.05,15.847,2.02,12.723,Low,4000.0
Active,937.92,55.94,0.0176,37.69,8.327,1.84,12.75,High,719.1
Debris,721.45,89.14,0.0203,624.24,1.878,2.28,13.715,Low,4000.0
Debris,268.46,0.61,0.0197,1276.01,9.692,2.2,12.918,Medium,2293.7
Debris,571.11,79.45,0.0097,19.68,1.826,2.04,11.007,Medium,540.3
Debris,1120.77,92.94,0.0032,66.92,2.587,2.29,14.659,High,4000.0
Debris,784.45,8.95,0.0296,1703.92,4.8,2.18,14.759,Medium,4000.0
Active,738.33,15.82,0.0495,1368.37,17.192,2.13,14.735,Medium,4000.0
Debris,468.85,94.15,0.0084,531.47,18.493,2.16,12.725,Low,789.6
Debris,568.45,52.68,0.0024,1376.24,16.527,2.25,13.611,Medium,3761.7
Debris,1095.35,1.39,0.039,1585.12,6.688,2.26,12.8,Medium,4000.0
Active,866.46,25.25,0.0127,614.28,5.456,2.0,11.08,Medium,4000.0
Active,987.39,44.09,0.0415,73.04,10.988,1.9,13.812,High,1093.4
Debris,654.35,67.91,0.0352,1865.63,14.44,1.91,11.619,Low,4000.0
Debris,830.25,71.85,0.0473,691.01,19.868,2.25,11.4,High,3856.4
Debris,448.38,97.55,0.0205,213.86,2.64,2.41,14.777,High,3764.5
Debris,905.46,28.18,0.0331,984.22,0.995,2.09,11.048,Medium,4000.0
Active,627.6,52.75,0.0233,1537.17,13.89,1.92,15.795,Medium,4000.0
Debris,642.55,52.27,0.0316,444.07,16.646,2.33,13.576,Low,1023.5
Debris,849.32,39.75,0.0225,539.71,16.929,2.38,15.915,High,3442.0
Debris,1136.28,16.58,0.0095,486.19,13.572,2.42,11.29,Low,2776.6
Debris,264.01,95.79,0.0254,1983.35,19.081,2.22,13.918,Medium,1756.0
Debris,1024.74,83.63,0.0265,395.61,10.225,2.4,12.747,Medium,3525.0
Active,492.38,48.84,0.0405,1151.46,18.277,1.81,15.217,High,4000.0
Debris,643.92,59.12,0.0368,1850.6,19.357,1.88,12.806,Medium,4000.0
Debris,221.91,22.27,0.0332,294.65,16.945,1.86,12.302,Medium,279.7
Debris,501.05,53.29,0.0058,1941.74,6.202,2.3,15.288,Low,4000.0
Debris,702.63,68.11,0.0361,1895.01,3.932,1.85,12.873,Low,4000.0
Debris,256.18,50.49,0.0251,1769.26,10.967,2.15,11.084,Low,2029.6
Debris,691.1,97.05,0.0447,429.9,9.066,2.13,12.951,High,4000.0
Active,1127.11,59.91,0.046,1268.48,17.556,2.02,14.273,Medium,4000.0
Debris,305.39,36.36,0.0029,1522.02,2.01,2.41,12.272,Medium,4000.0
Debris,964.44,75.67,0.0411,1972.07,5.162,1.92,13.16,Medium,4000.0
Debris,609.67,16.71,0.002,361.67,15.038,2.05,11.284,Medium,1306.1
Debris,855.17,37.68,0.0184,1532.29,1.909,2.34,13.94,Low,4000.0
Active,460.24,34.0,0.0272,678.26,6.422,1.82,14.781,Low,3361.7
Active,359.49,42.32,0.0075,352.08,7.749,2.27,13.067,Low,841.0
Debris,360.46,76.61,0.0373,843.33,12.456,2.37,13.101,Medium,1606.0
Debris,270.49,47.45,0.0005,1587.88,3.171,2.45,11.441,Low,4000.0
Debris,385.65,77.81,0.0085,930.23,17.213,2.41,12.01,Medium,1376.4
Debris,864.22,56.5,0.0291,1075.51,8.956,2.02,11.773,Medium,4000.0
Debris,1081.69,33.52,0.0357,1990.32,18.341,2.21,13.408,Medium,4000.0
Debris,1014.13,79.38,0.0458,798.82,9.363,1.85,13.646,Low,4000.0
Debris,885.13,23.35,0.0353,1231.19,5.508,1.98,15.745,Low,4000.0
Debris,310.43,21.99,0.0336,731.12,2.845,1.87,11.366,Low,4000.0
Active,489.19,49.44,0.0198,786.18,0.085,2.02,13.999,Medium,4000.0
Debris,509.81,25.56,0.0002,1391.59,10.648,2.41,13.632,Low,3588.3
Debris,449.96,0.89,0.0061,1875.84,2.152,2.04,13.581,High,4000.0
Active,715.01,63.53,0.0268,1085.18,7.841,2.19,15.366,Medium,4000.0
Debris,735.55,50.09,0.0338,1537.03,11.79,2.1,12.028,Low,4000.0
Debris,556.89,43.66,0.0209,179.32,5.521,2.12,11.204,Medium,1516.2
Debris,553.79,94.76,0.0366,423.1,3.513,2.48,14.361,Medium,4000.0
Debris,1028.56,55.98,0.0261,1004.76,15.497,2.01,12.726,Medium,4000.0
Active,989.29,84.62,0.0038,41.0,18.936,2.24,11.088,Low,151.4
Active,507.8,13.67,0.0097,506.46,2.018,2.09,12.257,Low,4000.0
Debris,1113.79,55.78,0.042,1035.29,3.12,1.84,12.547,Low,4000.0
Debris,1152.82,85.06,0.0363,30.91,19.201,2.14,14.084,Low,143.8
Debris,526.74,57.14,0.0447,529.83,0.765,2.37,11.863,Medium,4000.0
Debris,554.42,70.37,0.006,1028.55,19.553,1.87,13.065,Medium,2767.8
Debris,705.63,36.46,0.0495,1146.73,0.103,1.85,13.412,High,4000.0
Active,1141.12,9.06,0.0105,1851.58,17.475,1.91,13.296,Low,4000.0
Debris,1076.32,44.87,0.0007,1291.05,6.153,2.34,15.87,Low,4000.0
Active,302.57,38.66,0.0499,830.06,18.772,2.31,11.228,Medium,857.1
Debris,592.73,84.97,0.0141,1860.77,6.346,2.2,15.755,Low,4000.0
Debris,753.37,23.91,0.0334,1569.98,13.09,2.13,13.91,Low,4000.0
Debris,703.13,94.74,0.0089,400.82,1.61,2.42,14.979,Medium,4000.0
Active,393.86,93.9,0.0291,262.55,4.854,2.34,13.152,Low,1093.6
Active,1058.82,24.27,0.0452,1351.95,15.476,2.37,13.269,Medium,4000.0
Active,876.94,34.11,0.0161,1120.21,10.578,2.37,15.397,Low,4000.0
Debris,1037.91,87.76,0.0335,1579.56,18.56,2.25,15.48,Medium,4000.0
